target_time_utc,target_time_local,target_interval_start_utc,target_interval_start_local,13812_anti_clockwise,13812_clockwise,13814_anti_clockwise,13814_clockwise,13820_anti_clockwise,13820_clockwise,13823_anti_clockwise,13823_clockwise,13826_anti_clockwise,13827_clockwise,13829_clockwise,13837_clockwise,15673_clockwise,15675_anti_clockwise,15675_clockwise,15681_anti_clockwise,15681_clockwise,15682_anti_clockwise,15682_clockwise,15685_clockwise,15687_anti_clockwise,15687_clockwise,15692_anti_clockwise,15693_clockwise,22660_clockwise,22712_anti_clockwise,22712_clockwise,22713_anti_clockwise,22713_clockwise,22715_anti_clockwise,22716_clockwise,22718_anti_clockwise,22718_clockwise,22730_anti_clockwise,22730_clockwise,22744_clockwise,25759_anti_clockwise,40853_anti_clockwise,40853_clockwise,45293_anti_clockwise,45294_clockwise,45298_anti_clockwise,45298_clockwise,45299_anti_clockwise,45301_anti_clockwise,45301_clockwise,45303_clockwise,45306_anti_clockwise,45306_clockwise,45311_anti_clockwise,45311_clockwise,45317_anti_clockwise,45318_clockwise,45326_clockwise,45523_anti_clockwise,47162_anti_clockwise,47163_clockwise,47166_anti_clockwise,47507_anti_clockwise,47519_anti_clockwise,47520_clockwise,47522_clockwise,47523_anti_clockwise,47523_clockwise,47524_anti_clockwise,47524_clockwise,47526_anti_clockwise,47526_clockwise,47528_anti_clockwise,47530_anti_clockwise,47532_anti_clockwise,47534_anti_clockwise,47535_anti_clockwise,47535_clockwise,47538_anti_clockwise,47542_anti_clockwise,47548_anti_clockwise,47551_anti_clockwise,47554_anti_clockwise,47557_anti_clockwise,47572_clockwise,47575_clockwise,47581_clockwise,47585_anti_clockwise,47586_clockwise,47589_anti_clockwise,47589_clockwise,47592_anti_clockwise,47592_clockwise,47594_anti_clockwise,47597_anti_clockwise,47597_clockwise,47598_clockwise,47607_anti_clockwise,47623_anti_clockwise,47625_anti_clockwise,47625_clockwise,47626_clockwise,47629_anti_clockwise,47631_anti_clockwise,47632_clockwise,47634_clockwise,47784_anti_clockwise,47789_anti_clockwise,47789_clockwise,47792_anti_clockwise,47792_clockwise,47798_clockwise,47801_anti_clockwise,47801_clockwise,47803_clockwise,47805_anti_clockwise,49226_anti_clockwise,49226_clockwise,49229_anti_clockwise,49229_clockwise,49233_anti_clockwise,49235_clockwise,49247_clockwise,49253_anti_clockwise,49255_clockwise,49259_anti_clockwise,49261_clockwise,49269_anti_clockwise,49269_clockwise,49289_anti_clockwise,49306_clockwise,49308_clockwise,49312_clockwise,49313_anti_clockwise,49315_anti_clockwise,49560_clockwise,49790_anti_clockwise,49791_anti_clockwise,49791_clockwise,49794_anti_clockwise,49794_clockwise,49796_anti_clockwise,49798_anti_clockwise,49800_anti_clockwise,49802_anti_clockwise,49806_anti_clockwise,49809_anti_clockwise,49811_anti_clockwise,49811_clockwise,49824_anti_clockwise,49825_anti_clockwise,49825_clockwise,49826_anti_clockwise,49826_clockwise,49829_clockwise,49844_anti_clockwise,49915_anti_clockwise,52421_anti_clockwise,52632_anti_clockwise
2025-02-07T01:15:00Z,2025-02-07T01:15:00+0000,2025-02-07T01:10:00Z,2025-02-07T01:10:00+0000,21.102652,25.763601,22.187613,21.354300,16.030523,11.635391,31.218437,33.390545,31.601706,27.704462,28.766260,11.287018,17.820084,33.565666,35.124958,16.725351,16.666498,26.568247,25.084915,18.793793,29.098160,28.306465,24.436930,21.495092,27.241346,24.542702,21.460302,12.683482,19.899963,23.726530,19.404875,25.431519,22.112982,15.343879,24.134430,14.677638,25.105116,19.861258,23.378397,31.872362,32.613842,31.269510,26.053619,24.757645,30.245667,26.650749,20.247885,18.715469,17.418676,26.911499,30.050512,25.357485,22.421654,32.007549,20.986658,19.463539,9.581309,25.204147,30.961279,37.987103,42.840435,19.824591,28.447220,25.438959,19.472706,23.936426,31.418360,20.400049,25.287771,25.959177,30.172964,35.997669,24.418549,23.328894,25.058823,19.133980,38.836956,33.750706,28.681885,20.167051,19.342384,22.179350,26.592089,28.134592,23.575928,29.004965,18.838577,36.585392,29.426399,26.959772,31.667130,28.824295,24.376770,22.754150,26.304428,16.412958,14.627976,17.126930,25.214373,29.740234,28.019484,35.985897,29.298660,31.894722,25.130999,23.271622,22.195932,16.066805,21.920479,17.893562,16.179178,25.799530,26.364443,21.375242,26.691786,28.271387,27.749399,27.851618,25.274122,31.538054,14.568078,25.948290,21.230879,20.177725,14.614881,37.975811,28.344690,25.617102,12.518178,7.493343,31.283485,24.756800,16.583250,21.442459,31.389153,24.883142,13.204787,21.997576,19.546041,28.891485,31.952469,9.687528,16.828909,24.066465,21.305904,22.682806,20.657398,21.319740,20.923943,22.179220,16.181803,24.330559,18.203485,29.218393,21.826555
2025-02-07T01:20:00Z,2025-02-07T01:20:00+0000,2025-02-07T01:15:00Z,2025-02-07T01:15:00+0000,21.182535,25.855665,22.259413,21.334497,16.031975,11.629200,31.128296,33.185856,31.386206,27.566643,28.714012,10.797957,17.815523,34.007259,35.359512,16.866501,16.822580,26.542208,25.253489,18.893541,29.192270,28.179987,24.540955,21.195644,27.291452,24.538691,21.596664,12.683053,19.991676,23.793198,19.529924,25.384729,22.235596,15.416577,24.109606,14.657308,24.567324,19.923950,23.776718,31.564234,32.250549,31.258455,26.206537,24.816843,30.377737,26.833052,20.027830,18.583742,17.636099,26.934427,30.120323,25.379126,22.428244,31.948645,21.043001,19.655853,9.362350,25.192896,30.732496,38.037823,42.713867,19.798035,28.714731,25.481567,20.019991,24.066750,31.326899,20.375982,25.342798,26.003832,30.147303,36.092056,24.296305,23.418585,25.021658,19.224873,38.870316,33.869808,28.748026,20.173096,19.302206,22.210394,26.735481,28.373770,23.644419,28.822416,18.987030,36.785892,28.861158,26.923777,32.050793,28.970709,24.741201,22.782953,26.402681,16.135199,14.869644,17.017885,25.258432,29.593521,28.020094,36.309856,29.178392,31.800138,25.091476,23.294321,22.251686,16.195774,22.427992,17.905697,16.218134,25.862173,26.528833,21.503736,26.832212,28.238152,27.642721,27.756781,25.342138,31.527979,14.483467,26.235008,21.163225,20.235582,14.753432,38.160751,28.781601,25.462591,12.540616,7.420050,31.420317,24.795280,16.706734,20.779627,31.296583,25.058975,13.554016,22.020044,19.468964,28.775324,31.860275,9.581061,16.857841,24.199364,21.351980,22.720648,20.557190,21.344894,20.907316,21.948465,16.204954,24.314581,18.201584,29.306221,21.964605
2025-02-07T01:25:00Z,2025-02-07T01:25:00+0000,2025-02-07T01:20:00Z,2025-02-07T01:20:00+0000,21.230860,25.948610,22.317759,21.322599,15.931096,11.793872,31.301016,33.178631,31.490088,27.670248,28.914927,10.555870,17.764954,34.308208,35.497662,17.003811,16.628878,26.464035,25.243074,18.807894,29.250343,28.418503,24.527283,21.477667,27.431015,24.607956,21.594004,12.891536,19.968374,23.837164,19.689619,25.357828,22.329277,15.598956,24.009844,14.647347,24.756041,19.953051,24.010645,32.008808,32.841045,31.184084,26.384073,24.769064,30.278193,26.961237,20.000374,18.810438,17.772779,26.978760,30.157211,25.543648,22.037848,32.142551,21.012947,19.699242,9.217195,25.247931,30.930525,38.000957,42.775284,19.771219,28.797768,25.750750,20.311087,24.309301,31.592775,20.447020,25.536156,25.941887,29.976221,35.992584,24.397690,23.321901,25.175896,19.254944,38.832386,33.764187,28.739502,20.293249,19.328823,22.228142,26.818476,28.518036,23.769882,28.983887,18.748856,36.637402,28.728640,26.711046,32.155678,29.096685,24.119326,22.776398,26.426497,16.023119,14.465116,16.959007,25.311529,29.675951,28.144735,36.268124,29.163116,32.042461,25.242401,23.406088,22.281046,16.048580,22.449480,17.918673,16.382975,25.890741,26.745026,21.780136,27.060717,28.217169,27.645750,27.898773,25.410688,31.511267,14.478181,26.130407,21.235102,20.391386,14.869610,38.189724,28.775003,25.658693,12.449296,7.475698,31.397919,24.794657,16.728508,20.149824,31.344301,25.115713,13.690334,21.247568,19.412868,29.053221,31.783163,9.555696,16.948441,24.234390,21.417587,22.700037,20.455111,21.205648,20.854902,20.768024,16.260880,24.141502,18.173048,29.266930,21.954844
2025-02-07T01:30:00Z,2025-02-07T01:30:00+0000,2025-02-07T01:25:00Z,2025-02-07T01:25:00+0000,21.291967,25.896530,22.393831,21.354162,15.954249,11.686200,31.217133,33.323658,30.996515,27.564102,28.849722,10.910287,17.789911,34.085903,35.205410,17.150503,16.863289,26.216089,25.202353,18.722311,28.931223,28.449102,24.281885,20.948996,27.190958,24.452894,21.535707,13.025994,20.056160,23.829653,19.652103,25.364233,22.366949,15.739341,23.938210,15.042000,24.013693,20.003075,24.241480,32.117996,32.885086,31.037432,26.438688,24.808447,30.060249,26.906122,19.863466,19.007807,17.745951,26.983871,30.127401,25.071817,21.646469,32.162674,20.920332,19.755991,9.306027,25.171448,30.921572,37.827705,42.780933,19.803247,28.827562,25.703695,20.224747,24.164175,31.137857,20.232080,25.367989,25.901657,29.953970,35.936028,24.481119,23.329363,25.040819,19.263548,38.919430,33.936630,28.215940,20.188587,19.328056,22.170082,26.551208,28.401556,23.788368,28.931780,18.668825,36.812817,28.762232,26.657400,32.143818,29.110270,23.319300,22.589598,26.319967,16.109119,14.876407,16.926071,25.289917,29.660517,27.912210,36.262218,28.946936,31.830164,25.309340,23.357092,22.179817,16.040052,22.287262,17.874491,16.420906,25.974531,26.607950,21.807844,26.853991,27.989054,27.592566,27.679781,25.230972,31.328789,14.628254,26.129347,21.218390,20.434004,15.039588,38.068401,28.573736,25.941706,12.433266,7.478288,31.291956,24.657631,16.719330,20.367712,31.306005,25.058020,13.648129,21.298567,19.347198,28.835327,31.688105,9.827186,16.893728,24.144173,21.349012,22.686338,20.677416,21.301476,20.834980,20.962549,16.262564,23.742491,18.220102,29.238791,21.638521
2025-02-07T01:35:00Z,2025-02-07T01:35:00+0000,2025-02-07T01:30:00Z,2025-02-07T01:30:00+0000,21.049475,25.655304,22.379965,21.374453,16.122999,11.520195,31.173498,33.125381,30.924898,27.404482,28.586893,11.764380,17.667856,33.823650,34.982765,16.899679,16.821993,26.179186,25.108221,18.992868,28.177408,28.710480,24.394690,21.038284,26.948250,24.281855,21.528992,12.990727,20.027002,23.662638,19.797379,25.482866,22.436426,15.621272,23.737967,15.201238,23.989637,19.933535,24.275375,31.574713,32.066936,31.007376,26.515419,24.822111,30.074417,26.628305,19.878637,19.270441,17.715769,27.092096,30.063231,25.195536,21.887503,32.136028,21.000336,19.780401,9.445220,25.317757,30.608536,37.872196,42.828613,19.589201,28.775553,25.691544,20.451220,24.247507,31.148285,20.268471,25.552362,26.003038,29.782524,35.811649,24.156281,23.250048,24.812098,19.180962,38.988728,33.984310,28.240068,19.975338,19.376799,22.068542,26.033945,28.125671,23.689882,28.793533,18.351669,36.771404,28.488703,26.479965,32.121647,29.374205,22.506449,22.623695,26.192537,16.341698,14.415497,16.930290,25.226875,29.354288,27.821886,35.997364,28.982254,31.619278,25.258753,23.397850,22.148840,16.206223,22.194504,17.963163,16.421112,25.903328,26.653641,21.925812,26.728325,28.009714,27.710489,27.525635,25.063700,30.672388,14.625549,25.883429,21.159563,20.357367,15.194248,37.828979,28.343786,26.078575,12.458827,7.762693,31.127825,24.351570,16.706764,20.505730,31.337656,25.214188,13.592723,21.478983,19.307989,28.885658,31.741964,10.092481,16.848770,24.053114,21.227478,22.685310,21.018307,21.288912,20.875307,21.410891,16.246193,23.537352,18.085081,29.097193,21.475103
2025-02-07T01:40:00Z,2025-02-07T01:40:00+0000,2025-02-07T01:35:00Z,2025-02-07T01:35:00+0000,20.863670,25.553850,22.430033,21.446848,16.300016,11.353045,31.223314,33.173889,30.972618,27.386635,28.593069,12.385255,17.755304,33.995998,35.098431,16.815325,16.857050,26.103699,24.989813,18.772375,28.388132,29.059052,24.404602,21.609741,27.046915,24.283279,21.578192,12.892037,20.068758,23.631868,19.799906,25.430075,22.357719,16.034784,23.594530,15.440228,24.461584,19.968298,24.278231,31.755081,32.099354,31.103510,27.179863,24.761198,30.273132,26.601570,19.871725,19.302683,18.088514,26.976219,30.102264,25.080748,21.902414,32.084629,21.120129,19.832207,9.543152,25.373571,30.951448,37.792019,42.928410,19.613951,28.959076,25.671646,20.404112,24.176918,31.173737,20.286310,25.841187,25.738630,29.576574,35.871193,23.790003,23.252691,24.821655,19.334085,39.055145,33.842697,28.073118,20.132299,19.481201,21.995834,25.868994,28.288935,23.601540,29.006338,18.432852,36.768024,28.828894,26.435799,32.415218,29.239487,21.939278,22.627335,26.203028,16.258320,14.649556,17.021065,25.295074,29.376692,27.720268,35.874447,28.927704,31.514313,25.202890,23.400232,22.137877,15.902512,22.006342,17.935343,16.610617,25.954254,26.505030,21.747763,26.578049,28.086329,27.906433,27.621767,24.994110,30.879187,14.675514,25.957544,21.179121,20.489656,15.188586,37.632717,28.564753,25.992790,12.550064,7.673958,31.107767,24.167786,16.708950,20.855530,31.347115,25.262533,13.682091,21.530960,19.281256,29.007250,31.888163,10.128291,16.883017,24.042257,21.414835,22.705656,21.003736,21.283035,20.889851,22.088409,16.324434,23.589500,18.193514,29.151957,21.874277
2025-02-07T01:45:00Z,2025-02-07T01:45:00+0000,2025-02-07T01:40:00Z,2025-02-07T01:40:00+0000,20.591522,25.236715,22.444880,21.451975,16.231346,12.590812,31.089472,32.968578,30.933784,27.328226,28.346107,12.941680,17.819691,33.764187,35.010471,16.838564,16.737104,25.944269,25.106186,18.893059,28.371511,29.016546,24.383432,21.003225,27.119171,24.207804,21.388338,13.022430,19.844116,23.571365,19.769020,25.028952,22.279165,15.530164,23.673704,15.378944,24.787573,20.060514,24.388254,31.719248,32.184341,31.331396,27.272940,24.463898,30.316010,26.667885,19.755213,19.422419,18.115309,26.950823,29.762903,25.263636,21.693520,32.091991,21.035852,19.928780,9.762818,25.400070,30.775152,37.710697,42.742176,19.628012,29.068415,25.662085,20.259605,24.157179,31.102364,20.200228,25.738022,25.839922,29.685453,36.077026,23.773298,23.023569,24.899988,19.241875,39.023983,33.972527,27.884108,19.992769,19.465502,22.000143,25.760572,28.338692,23.485071,28.920214,18.459663,35.989105,28.429930,26.343058,31.544996,29.263834,21.239893,22.599962,26.098633,16.285433,14.036758,16.992849,25.312597,29.242653,27.685638,35.679066,28.807364,31.150932,25.133657,23.374384,22.110083,15.632531,21.976929,18.027796,16.536005,26.113113,26.608484,20.864529,26.508493,28.398096,28.041931,27.328184,25.120249,30.410166,14.630738,26.055437,21.216009,20.631733,15.301521,37.549282,28.689997,25.408415,12.461947,7.497120,31.281744,24.230547,16.634039,20.957323,31.219584,25.098984,13.842822,21.695688,19.117559,29.189234,31.731268,10.528450,16.845179,24.122465,21.342859,22.740364,21.280432,21.421389,20.847893,22.368559,16.378853,23.467554,18.022701,29.254684,21.706835
2025-02-07T01:50:00Z,2025-02-07T01:50:00+0000,2025-02-07T01:45:00Z,2025-02-07T01:45:00+0000,20.472685,24.864487,22.453512,21.448515,15.988864,12.208507,31.168657,33.039303,30.892593,27.130445,27.861879,13.447941,17.551065,33.824829,34.959888,16.545866,16.769613,25.665945,25.098337,18.827444,28.825180,28.917086,24.180475,21.140984,27.149172,23.933756,21.389130,12.639031,19.719875,23.644653,19.823023,25.177917,22.173410,16.237696,23.355383,15.294551,25.225740,20.016428,24.195580,31.491333,31.879065,31.301458,27.335724,24.701635,30.232460,26.594780,19.851274,19.435455,18.056610,26.676437,29.564032,25.390394,22.266611,32.065414,21.033953,19.849739,9.973167,25.345560,30.589514,37.626286,42.883289,19.638842,29.085672,25.696905,19.886259,24.217216,31.185205,20.078627,25.737810,25.756746,29.715750,36.096729,23.391104,22.755896,24.902807,19.013552,38.852242,33.889362,28.033592,19.823332,19.511654,21.988432,25.761637,28.384146,23.570969,29.068220,18.381721,36.398899,28.910105,26.469610,31.957891,28.631041,20.732246,22.488012,25.983759,15.326587,13.913735,17.007050,25.229280,29.541281,27.598433,35.128937,28.731195,30.878258,24.917994,23.368193,22.100485,15.707688,21.751688,17.716841,16.642931,25.983633,26.520662,20.595339,26.346819,28.316805,28.254908,27.273361,25.085129,30.897959,14.757538,26.311172,21.232912,20.702484,15.149203,37.535091,28.543894,25.351425,12.465652,7.461396,31.298134,24.093605,16.678621,21.110352,30.766779,24.933043,13.921016,21.806738,18.966301,29.288782,31.959969,10.727867,16.777634,23.639084,21.232111,22.800331,21.162600,21.383551,20.885740,22.748093,16.363489,23.846268,17.981901,29.106781,21.827423
2025-02-07T01:55:00Z,2025-02-07T01:55:00+0000,2025-02-07T01:50:00Z,2025-02-07T01:50:00+0000,20.233681,24.978643,22.555931,21.321005,16.127785,11.980549,31.432808,32.735744,30.935669,26.587624,27.849411,13.154918,17.719082,33.868008,34.716446,16.544319,16.999418,25.229063,25.325338,18.366236,29.262655,28.525375,24.293077,21.388281,26.930433,23.497374,21.430548,12.850430,19.732801,23.644218,19.874949,25.093733,22.091505,16.028336,23.134232,15.403998,25.177595,20.078289,24.332651,31.561056,32.105286,31.485365,27.118464,24.609396,30.018488,26.133589,19.894272,19.527641,17.772211,26.585882,29.451952,25.319794,22.350897,31.911860,21.022295,19.733044,10.195544,25.346273,30.404470,37.528088,42.957047,19.744188,29.157862,25.509462,20.536896,24.262613,31.054041,20.262901,25.671242,25.485672,29.837425,36.252628,23.185715,22.533808,24.679911,19.022154,38.786160,33.554810,27.746567,19.682617,19.606636,22.017534,25.478979,28.242798,23.574005,29.145617,18.906212,36.580853,28.947596,26.448462,32.093441,27.485300,20.652964,22.732422,26.046232,15.871194,13.681522,17.085062,25.225004,29.543242,27.475039,35.475964,28.638834,30.387564,24.333055,23.377905,22.191536,15.861690,21.450960,17.783775,16.510357,26.163767,26.378366,20.062567,26.379995,28.047541,28.060202,27.157148,25.207251,30.873346,14.715812,26.091482,21.163134,20.911364,15.152031,37.434261,28.335962,25.151148,12.480419,7.640022,31.264120,24.126715,16.586412,21.357443,30.686310,24.971985,14.012258,21.953814,18.828241,29.366693,32.076138,10.768332,16.708269,23.678711,20.917482,22.762238,20.710218,21.460251,20.422857,22.597982,16.303631,23.812212,17.959995,28.641134,21.123178
2025-02-07T02:00:00Z,2025-02-07T02:00:00+0000,2025-02-07T01:55:00Z,2025-02-07T01:55:00+0000,20.813501,25.339148,22.533783,21.324173,16.231575,12.158633,31.689482,33.055294,31.147957,27.277090,28.317865,13.003017,17.278524,32.020416,33.102703,16.374519,16.938358,24.269049,24.733994,17.580900,28.900858,28.241678,23.675623,21.116934,25.865263,22.316559,20.952265,12.939529,19.636599,23.710136,19.928453,25.038549,21.816568,16.154961,22.915030,15.114937,25.039528,20.067940,24.211302,31.196283,31.777647,31.295858,26.759338,24.363319,29.882669,25.858877,19.809406,19.323568,17.604767,25.788383,28.950182,25.218397,21.987963,31.405489,21.067717,19.624304,10.181335,25.139631,30.254906,37.740479,42.676800,19.641058,29.186167,25.319357,19.894171,24.046289,30.700205,20.078094,25.550470,25.197313,29.664942,36.195591,22.779732,22.637548,24.846395,18.954136,38.622227,33.332478,27.600420,19.810366,19.613165,22.228653,24.246054,27.877310,23.317131,28.369616,18.547773,35.620869,28.380890,26.430075,31.222097,26.815605,20.847145,22.425863,25.908068,15.580295,14.047199,17.254519,25.083191,29.254171,27.358122,35.184265,28.375784,31.061050,24.621561,23.216141,21.907537,15.723130,21.884598,17.866995,16.407759,26.213690,26.261179,19.866369,26.485189,28.280991,28.069345,26.531363,25.227530,30.163847,14.664479,25.992956,20.832933,20.570601,15.112901,36.363560,28.191353,24.816133,12.266986,7.823816,31.175964,24.050179,16.443533,21.025866,30.472580,24.877302,14.011001,21.762094,18.648787,29.383692,31.839325,10.736058,16.490538,21.566137,20.356073,22.468393,20.545155,21.374372,20.586000,22.215385,16.217268,22.877188,17.881807,28.396418,20.065905
2025-02-07T02:05:00Z,2025-02-07T02:05:00+0000,2025-02-07T02:00:00Z,2025-02-07T02:00:00+0000,20.838285,25.466654,22.558199,21.256815,16.233803,11.425305,31.876892,32.866470,31.348753,27.259546,28.529306,12.921231,17.344902,32.166874,33.125317,16.343319,16.970665,24.581703,24.829920,17.741837,28.412832,27.496628,23.641226,20.068335,26.422829,22.694000,21.076105,13.047012,19.566277,23.944595,19.896708,24.411764,21.952835,16.348742,22.925400,15.005919,25.194067,19.969894,23.979851,30.603493,32.058842,31.189110,27.074423,24.581953,30.455191,26.085762,19.495417,19.368156,17.685232,24.958834,29.031387,24.824224,21.760635,31.375448,21.093344,19.415480,10.069600,24.863943,30.723434,37.829239,43.027020,19.534199,29.304525,25.255409,20.109266,23.229639,30.433664,20.002703,25.591209,24.923861,29.534811,35.996960,23.027824,22.622938,25.143232,18.938446,38.492477,33.158279,27.508606,19.886286,19.545092,22.297453,24.647659,28.264124,23.421837,28.371086,18.420547,36.318630,28.465546,26.294748,31.006104,27.104010,21.583382,22.234716,25.949835,16.149786,14.165359,17.190416,24.997713,29.366053,27.218359,35.184238,28.106176,30.807089,25.084311,23.040869,21.984442,16.258167,21.926706,17.844225,16.315302,26.246866,26.011940,19.413401,26.337547,28.028755,28.025393,26.861002,25.035219,30.077124,14.607188,25.919693,20.833811,20.555483,15.018166,37.308533,28.061607,25.474159,12.306363,7.643949,31.133944,24.001257,16.545288,20.685133,29.952026,24.516394,14.025814,21.695992,18.768347,29.155554,31.993910,10.772667,16.534594,21.874029,20.368719,22.668617,20.510189,21.415842,20.704811,21.974524,16.231466,22.783928,17.747635,29.176493,20.879984
2025-02-07T02:10:00Z,2025-02-07T02:10:00+0000,2025-02-07T02:05:00Z,2025-02-07T02:05:00+0000,20.824003,25.574488,22.529808,21.184160,16.161400,11.337345,31.677534,32.831936,31.125916,27.381052,28.486006,12.456089,17.625406,32.627766,33.336662,16.724306,16.873732,24.685476,24.876495,17.377085,28.299917,28.445793,23.630867,20.337587,26.293589,22.232985,20.796938,13.015895,19.430658,24.013334,19.791077,24.155975,22.041456,16.440388,23.164938,14.797536,24.820250,19.819715,23.911325,29.198774,32.349689,30.884741,27.058294,24.113571,30.000559,25.969709,19.516045,19.081446,17.371389,25.173096,29.321159,25.072046,21.609262,31.216932,21.024740,19.273645,10.073722,25.014732,30.461939,38.070599,43.151123,19.460016,29.249931,25.338110,20.142208,22.830179,30.164215,20.144644,25.392530,25.182909,29.517405,35.500225,23.033646,22.595116,24.908400,19.001554,38.457859,33.324879,26.879419,19.814873,19.565718,22.252905,25.026400,27.951912,23.394867,28.485010,18.383078,36.115742,28.124847,26.234243,31.363325,27.033644,22.641676,22.216721,26.126694,16.303890,14.255249,17.103422,25.087921,29.352468,27.199432,35.562855,28.072580,30.571146,24.397272,22.670099,21.648546,15.942677,21.971977,17.633478,16.345476,26.168013,26.231520,18.958376,26.435989,28.189316,27.961744,26.442192,25.158279,30.192207,14.551994,25.750336,20.810331,20.656622,15.053345,37.394764,28.077600,25.143469,12.244336,7.671305,31.137556,23.490044,16.441851,20.991594,30.137381,22.932030,14.053866,21.422867,18.830854,29.321655,31.739637,10.797707,16.360826,21.583038,20.275003,22.637182,19.938765,21.357645,20.624212,21.436142,16.184732,23.433876,17.608734,29.608330,20.813643
2025-02-07T02:15:00Z,2025-02-07T02:15:00+0000,2025-02-07T02:10:00Z,2025-02-07T02:10:00+0000,20.919764,25.438379,22.379387,21.083191,15.961662,11.837509,31.676928,32.330963,31.237356,27.074478,28.199007,12.073405,17.519440,32.242645,32.916370,16.445343,16.829102,25.084345,24.850229,17.977276,28.062387,28.257042,24.003860,21.112947,25.907812,22.184942,20.837940,12.678977,19.139593,24.010424,19.640327,23.569098,21.338095,16.620733,23.550112,14.627251,25.018076,19.687119,23.533182,29.253416,32.288708,29.830290,27.237259,23.887857,29.680344,25.968279,19.448099,19.055185,17.143610,25.304092,29.524954,25.085638,21.572515,31.390810,21.076036,18.890846,10.280652,25.204376,29.780107,37.968113,43.233418,19.380762,29.282652,25.291521,20.419615,23.196411,30.621004,20.192528,25.596832,25.239227,29.588892,35.354702,22.287193,22.572357,24.374542,18.676840,37.775600,33.482391,27.508226,19.398548,19.566065,22.122946,24.728128,28.234375,23.324478,28.480284,18.265432,35.616806,28.329691,26.066015,30.408056,26.594622,23.530090,22.553917,25.936743,16.245129,14.442050,17.171768,24.874872,29.656527,26.961283,35.084793,27.867804,29.559217,23.495056,22.402878,21.333702,16.040468,21.338379,16.700272,16.230299,25.707060,26.043015,19.282640,26.230249,27.635748,28.077942,26.592985,24.965271,30.149553,14.622707,25.723337,20.874628,20.564301,15.024671,37.084667,27.668716,24.804594,12.344623,7.618235,31.168539,23.352470,16.578585,20.637819,30.353308,24.409754,14.044202,21.707674,19.044884,29.011200,31.588358,10.753810,16.188059,21.942739,20.301264,22.541315,20.303801,21.263920,20.745911,21.633713,16.115625,22.996201,17.563543,29.211983,20.890339
2025-02-07T02:20:00Z,2025-02-07T02:20:00+0000,2025-02-07T02:15:00Z,2025-02-07T02:15:00+0000,20.530941,25.459953,22.283730,21.037355,15.885693,11.533319,31.461721,32.439297,31.295969,26.682688,28.126825,11.579429,17.648829,31.836252,33.527218,16.346983,16.862766,25.037802,24.945175,17.839598,28.574608,28.587221,23.926630,21.449331,26.500626,22.536039,20.777208,12.431310,19.376184,23.814936,19.484253,23.768259,20.822073,16.701965,23.900320,14.614814,25.217943,19.616091,23.477966,30.266630,32.303078,30.055933,26.994787,23.798355,29.594330,26.026823,19.601908,19.161114,16.805658,25.241735,29.511627,24.918085,22.483429,31.398682,21.108377,18.782158,10.291701,25.334127,29.217768,37.606781,43.026081,19.297476,29.456087,25.271576,20.637716,23.048502,30.702530,20.277893,25.584366,25.118734,30.001991,35.746380,22.575150,22.175003,23.952860,18.353811,36.438519,33.234669,27.706827,19.240807,19.604582,22.013954,25.136650,28.062616,23.314341,28.629480,18.367912,35.614086,28.626320,26.038141,30.515839,25.298544,24.573761,22.664953,25.277206,16.467213,14.547935,17.172758,24.671545,29.515280,27.192759,34.474426,27.931128,29.168562,23.028082,22.356970,21.188061,16.128893,20.810055,16.744440,16.268488,25.124044,25.519562,19.411266,25.988226,27.594818,27.916159,26.165100,24.657534,30.669321,14.554719,25.381392,20.873137,20.450911,14.957273,36.851501,27.704432,24.946259,12.601024,7.577376,31.094637,23.346777,16.675024,20.869492,30.638510,24.690275,14.010834,21.742605,18.985498,28.955566,31.750509,10.824143,16.165876,21.856989,20.542522,22.518219,20.484213,21.329439,20.453577,22.408895,16.110926,23.842499,17.581110,29.203812,20.973051
