name,datetime,temp,humidity,precip,windspeed,visibility,icon
Notingham,2024-11-01T00:00:00,10.5,90.95,0,8.9,3.7,cloudy
Notingham,2024-11-01T01:00:00,10.5,90.31,0,7.9,3.7,cloudy
Notingham,2024-11-01T02:00:00,10.6,88.03,0,9,4.9,cloudy
Notingham,2024-11-01T03:00:00,10.6,87.13,0,9.1,8.8,cloudy
Notingham,2024-11-01T04:00:00,10.5,87.59,0,9,7.1,cloudy
Notingham,2024-11-01T05:00:00,10.5,86.71,0,8,3.4,cloudy
Notingham,2024-11-01T06:00:00,10.3,86.76,0,7.9,5,cloudy
Notingham,2024-11-01T07:00:00,10.5,86.71,0,7,11.7,cloudy
Notingham,2024-11-01T08:00:00,10.6,85.13,0,8.9,16.1,cloudy
Notingham,2024-11-01T09:00:00,11.1,83.52,0,9,14.5,cloudy
Notingham,2024-11-01T10:00:00,11.3,85.9,0,7.1,11.4,cloudy
Notingham,2024-11-01T11:00:00,11.6,84.49,0,9.1,11,cloudy
Notingham,2024-11-01T12:00:00,11.9,81.79,0,8.3,17.6,cloudy
Notingham,2024-11-01T13:00:00,12.6,77.04,0,9.2,23,partly-cloudy-day
Notingham,2024-11-01T14:00:00,12.6,77.13,0,8.1,22.9,cloudy
Notingham,2024-11-01T15:00:00,12.3,79.61,0,6.1,22.9,cloudy
Notingham,2024-11-01T16:00:00,12,82.08,0,5,17.5,cloudy
Notingham,2024-11-01T17:00:00,11.8,83.26,0,2.6,16.5,cloudy
Notingham,2024-11-01T18:00:00,10.9,86.38,0,1.6,15.3,cloudy
Notingham,2024-11-01T19:00:00,10,90.11,0,3.6,17.5,cloudy
Notingham,2024-11-01T20:00:00,9.8,90.15,0,1.7,9.8,partly-cloudy-night
Notingham,2024-11-01T21:00:00,10.4,90.26,0,3.5,12.6,cloudy
Notingham,2024-11-01T22:00:00,10.6,88.83,0,0.5,9.2,cloudy
Notingham,2024-11-01T23:00:00,10.4,90.43,0,0.4,8.1,cloudy
Notingham,2024-11-02T00:00:00,10.4,90.34,0,0.4,5.9,cloudy
Notingham,2024-11-02T01:00:00,10.4,91.95,0,2.3,6.9,cloudy
Notingham,2024-11-02T02:00:00,10.7,91.67,0,2.4,6.3,cloudy
Notingham,2024-11-02T03:00:00,10.7,91.86,0,3.7,6.2,cloudy
Notingham,2024-11-02T04:00:00,10.7,92.81,0,3.6,6.2,cloudy
Notingham,2024-11-02T05:00:00,10.6,93.75,0,4.8,4.9,cloudy
Notingham,2024-11-02T06:00:00,10.6,93.75,0.007,6.8,7.2,cloudy
Notingham,2024-11-02T07:00:00,10.3,92.7,0,4.8,3.6,cloudy
Notingham,2024-11-02T08:00:00,10.2,96.57,0,3.8,1.6,cloudy
Notingham,2024-11-02T09:00:00,10.7,96.59,0.177,5.9,1.1,cloudy
Notingham,2024-11-02T10:00:00,11.2,98.83,0.179,6.1,4.5,cloudy
Notingham,2024-11-02T11:00:00,12.1,93.49,0,6,36.9,cloudy
Notingham,2024-11-02T12:00:00,12.8,86.14,0.021,7,39.8,cloudy
Notingham,2024-11-02T13:00:00,12.8,82.5,0,6.9,39.9,cloudy
Notingham,2024-11-02T14:00:00,12.8,83.72,0,5.8,40,cloudy
Notingham,2024-11-02T15:00:00,12.6,85.35,0,5.7,17.5,cloudy
Notingham,2024-11-02T16:00:00,12.1,89.07,0,2.5,16.3,cloudy
Notingham,2024-11-02T17:00:00,11.9,90.62,0,3.5,23.4,cloudy
Notingham,2024-11-02T18:00:00,11.6,93.95,0,3.5,3.4,cloudy
Notingham,2024-11-02T19:00:00,11.5,96.31,0,3.5,1.9,cloudy
Notingham,2024-11-02T20:00:00,11.5,97,0.353,3.5,1.1,rain
Notingham,2024-11-02T21:00:00,11.3,98.16,0.003,4.6,1.2,cloudy
Notingham,2024-11-02T22:00:00,11.3,98.21,0,5.8,1.7,cloudy
Notingham,2024-11-02T23:00:00,11.3,97.62,0.353,4.9,2.3,rain
Notingham,2024-11-03T00:00:00,11.1,95.87,0.003,5.8,5.8,cloudy
Notingham,2024-11-03T01:00:00,10.9,91.44,0,4.6,16.6,cloudy
Notingham,2024-11-03T02:00:00,10.5,91.14,0,4.6,12.8,cloudy
Notingham,2024-11-03T03:00:00,10.3,92.3,0,2.4,11.2,cloudy
Notingham,2024-11-03T04:00:00,10,92.11,0,4.5,4.6,cloudy
Notingham,2024-11-03T05:00:00,9.9,93.21,0,3.3,7.3,cloudy
Notingham,2024-11-03T06:00:00,9.9,92.97,0,3.3,6.3,cloudy
Notingham,2024-11-03T07:00:00,9.9,92.86,0,2.4,6.2,cloudy
